Author,Total_Papers,Collaboration_Papers,Collaboration_Rate
"Wu, Hsiao-ping",1,0,0.0
"Hao, Lan",1,1,1.0
"Liu, Lu",5,3,0.6
"Song, Hyuksoon S.",1,0,0.0
"Wang, Wendy",1,0,0.0
"Kang, Minseok",4,0,0.0
"Bian, Xu",1,0,0.0
"Zhou, Yalun",2,2,1.0
"Yang, Lajlim",1,0,0.0
"Zhang, M.",1,0,0.0
"Le, Quang A.",1,0,0.0
"Yu, Ka Chun",3,0,0.0
"Ma, Carolyn",3,2,0.6667
"Yi, Eun P.",1,0,0.0
"Lu, Yolanda",1,0,0.0
"Zheng, Dongping",2,0,0.0
"Liu, Allison S.",2,0,0.0
"Liu, Jia",4,3,0.75
"Li, Jia",9,4,0.4444
"Chang, Hsiao-Chi",1,0,0.0
"Li, Liang",6,1,0.1667
"Qian, Gaoyin",1,0,0.0
"Zhou, Yuanyuan",2,0,0.0
"Liang, Kai",1,0,0.0
"Liu, Yue",1,0,0.0
"Liu, Qin",3,0,0.0
"Man, Lillian",1,0,0.0
"Du, Xiang Yun",1,1,1.0
"Ruan, Youjin",4,4,1.0
"Zhong, Lin",3,0,0.0
"Wang, Jyhwen",2,0,0.0
"Wang, Kai-Hui (Isobel)",1,0,0.0
"Chen, Yu-Hui",1,0,0.0
"Yang, Jenny",1,0,0.0
"Lei, Kai Y.",1,0,0.0
"Hong, Kian-Sam",1,1,1.0
"Zhu, Mary",1,0,0.0
"Chen, Sheh-Li",1,0,0.0
"Bao, Rui",1,1,1.0
"Xu, Yonghong",1,0,0.0
"Yu, Dongqing",1,0,0.0
"Sun, Hua-Chun",1,0,0.0
"Pang, N. Celeste",1,0,0.0
"Chi, Eunlim",1,0,0.0
"Jiang, Guowu",1,0,0.0
"Huang, Leon",1,1,1.0
"Sun, Haoran",1,0,0.0
"Lin, Fuhua",1,1,1.0
"Zheng, Ping",1,0,0.0
"Ge, Jin Jin",1,0,0.0
"Zhang, Aixiu Monica",1,0,0.0
"Feng, Bei",2,0,0.0
"Chen, Ken-Zen",2,0,0.0
"Lai, M. M.",1,0,0.0
"Chen, Haiping",1,0,0.0
"Ye, Li",8,0,0.0
"Lu, Lunjin",1,1,1.0
"Ming, Hua",1,1,1.0
"Jin, Seunghee",2,0,0.0
"Wang, Chihhsuan",1,0,0.0
"Yan, Fan",1,0,0.0
"Xu, Hui",5,0,0.0
"Zhou, Guangyu",2,0,0.0
"Tang, Fanny",1,0,0.0
"Cai, Kuihua",1,0,0.0
"Li, Sicong",2,0,0.0
"Liu, Vivian Y. T.",1,0,0.0
"Hu, Olivia",1,0,0.0
"Pan, Alice",1,0,0.0
"Lin, Clarice",1,0,0.0
"Wan, Ping",1,0,0.0
"Peng, Ann C.",2,0,0.0
"Han, Hyemin",4,0,0.0
"Gao, Yaping",2,0,0.0
"Ji, Yongwoon",1,0,0.0
"Lu, Mingming",1,0,0.0
"Gu, X.",1,0,0.0
"Su, Xiaoxia",2,2,1.0
"Lin, Meng-Chuan",1,0,0.0
"Han, Shuangmiao",3,0,0.0
"Huan, Yu",1,1,1.0
"Li, Xueping",1,1,1.0
"Xu, Tim",2,1,0.5
"Yin, Ophelia",1,1,1.0
"Wei, Chin-Chuan",2,0,0.0
"Mu, Guanglun Michael",10,3,0.3
"Yin, Yin",1,0,0.0
"Ha, Tam Cam",1,0,0.0
"Chen, Zengguan",1,1,1.0
"Lu, Ya-Huei",1,1,1.0
"Min, Mina",4,1,0.25
"Tan, Verily",2,1,0.5
"Xu, Honglei",1,0,0.0
"Gong, Yu",1,1,1.0
"Zhu, Qin",1,1,1.0
"Han, Rongbin",1,1,1.0
"Wang, Gang",1,1,1.0
"Wu, Liyun",2,1,0.5
"Wang, Zhiqi",6,1,0.1667
"Dong, Yanning",2,2,1.0
"Xu, Cora Lingling",9,1,0.1111
"Ye, Lichuan",2,0,0.0
"Jia, Pengfei",1,0,0.0
"Xue, Yu",1,0,0.0
"Teng, Shasha",2,0,0.0
"Zhang, Qi",4,1,0.25
"Kang, Hyoung-Kil",1,0,0.0
"Chen, Zhu",2,0,0.0
"Ru, Lina",1,0,0.0
"Lin, Yu-Ju",4,0,0.0
"Zhao, Xu",2,0,0.0
"Cai, WeiWei",1,0,0.0
"Liu, Ying",2,1,0.5
"Lin, Chunfeng",1,0,0.0
"Wu, Xinyi",1,0,0.0
"Shen, Xiaoqi",1,0,0.0
"Han, Turgay",4,0,0.0
"Zhang, Xiangyi",1,0,0.0
"Chen, Marsha Black",1,0,0.0
"Han, Kwan Hee",1,0,0.0
"Dai, Yun",2,1,0.5
"Liu, Ang",3,1,0.3333
"Lu, Stephen",1,1,1.0
"Zhang, Qilong",4,2,0.5
"Gong, Xue",1,0,0.0
"Wang, Frances L.",1,0,0.0
"Li, Xuemei",1,0,0.0
"Lu, Liya",2,0,0.0
"Song, Yu",1,0,0.0
"Chen, Cher",1,0,0.0
"Chen, P. Daniel",4,2,0.5
"Wang, Jun",3,1,0.3333
"Ye, Rebecca",4,0,0.0
"Chi, Nai-Ching",1,1,1.0
Thai Le,1,1,1.0
"Chang, Jonah J.",1,0,0.0
"Chen, Jingyi",2,0,0.0
"Huang, Angela",1,1,1.0
"Zhou, Yan",2,1,0.5
"You, Songly",1,0,0.0
"Wang, Tingting",3,1,0.3333
"Zhuang, Weiling",3,2,0.6667
"Zhang, Michael Jijin",1,0,0.0
"Lin, Alex R.",1,0,0.0
"Weng, Suzie S.",2,0,0.0
"Li, Ian",4,0,0.0
"Li, Jiahang",2,0,0.0
"Yang, Jiahua",1,0,0.0
"Cao, Tingting",2,2,1.0
"Zhang, Qing",3,2,0.6667
"Xia, Yan",4,1,0.25
"Cui, Weili",1,0,0.0
"Cong, Summer",1,0,0.0
"Lin, Yin",1,0,0.0
"Lu, Ying (Tracy)",1,1,1.0
"Wei, W.",1,1,1.0
"Li, Ihsuan",1,0,0.0
"Xia, Jiangang",3,1,0.3333
"Hu, Xiaodan",24,2,0.0833
"Fu, Qiong",2,0,0.0
"An, Shuhua",2,0,0.0
"Feng, Z. C.",1,1,1.0
"Xin, Ming",1,1,1.0
"Jin, Jang C.",1,0,0.0
"Lu, Shaofei",1,0,0.0
"Han, Heesup",2,1,0.5
"Chang, Aurora",7,0,0.0
"Rong, Hui",1,0,0.0
"Tan, Ai-Girl",1,0,0.0
"Liu, Tsu-Jae King",1,0,0.0
"Wang, Qingchun",1,0,0.0
"Lin, Ling",1,0,0.0
"Hou, Heng",1,0,0.0
"Pan, Jie",1,0,0.0
"Zhang, Dongmao",1,0,0.0
"He, Yuhong",2,2,1.0
"Huang, Bruce",1,1,1.0
"Zhou, Larissa",1,0,0.0
"Wang, Li-Yi",1,1,1.0
"Chang, Wen",2,0,0.0
"Cheng, Ranis",1,0,0.0
"Yu, Hong-Bin",1,0,0.0
"Chang, Stephanie H.",1,0,0.0
"Wang, Cen",2,0,0.0
"Jiang, Yuheng Helen",2,0,0.0
"Yang, Kevin",2,1,0.5
"Yu, Hongsik",1,0,0.0
"Wu, Yuanyuan",1,0,0.0
"Guo, Hongye",1,0,0.0
"Chang, Kuo-Liang",1,0,0.0
"Pang, Valerie Ooka",1,0,0.0
"Wei, Jieqiang",1,1,1.0
"Li, Luisa",1,0,0.0
"Deng, Shu",1,0,0.0
"Zhang, Jing Jing",1,0,0.0
"Liu, Xiaofeng Steven",1,0,0.0
"Cheng, Carmen",1,0,0.0
"Zheng, Shengping",2,0,0.0
"Cheng, Sarah",1,0,0.0
"Lai, Weil R.",1,0,0.0
"Tan, Chee-Shiong",1,0,0.0
"Hou, Yuefeng",1,0,0.0
"Chen, Mary M.",1,0,0.0
"Tang, Nai-En",3,0,0.0
"Lei, Jason",1,0,0.0
"Min, Alice A.",2,0,0.0
"Tan, Susan",1,1,1.0
"Wu, Siew Mei",1,1,1.0
"Pang, Bonnie",6,1,0.1667
"Wu, Dominic J.",1,0,0.0
"Chang, Olivia H.",1,0,0.0
"Yang, Ilun",1,0,0.0
"Song, Ju-Eun",2,1,0.5
"You, Mi-Ae",1,1,1.0
"Kang, P. Chulhi",1,0,0.0
"Chen, Chi Chiung Grace",1,0,0.0
"Lin, Chih-Kai",1,1,1.0
"Liu, Na",1,1,1.0
"Yang, Eunbae B.",2,0,0.0
"Wan, Andrew C.",1,0,0.0
"Long, Ann",1,0,0.0
"Chang, Amy L.",4,0,0.0
"Wang, Amy T.",2,0,0.0
Mei Chan Chong,1,0,0.0
"Wu, Karen",2,0,0.0
"Yu, Miaoyu",1,1,1.0
"Xie, Haiyan",3,1,0.3333
"Cui, Yaqiong",2,0,0.0
"Kang, Hee-Young",1,1,1.0
"Chen, Ying-Chih",6,0,0.0
"Yang, Guang",1,0,0.0
"Tang, Chun Meng",4,0,0.0
"Li, Chun-I",1,1,1.0
"Wang, Cixin",7,6,0.8571
"Chang, Chulho",1,1,1.0
"Kang, Hyunggoo",1,1,1.0
"Li, Caihong R.",2,1,0.5
"Fang, Ferric C.",1,0,0.0
"Rao, Madasu Bhaskara",2,0,0.0
"Sun, Ning-Zi",2,1,0.5
"Heng, Doreen Gek Noi",1,1,1.0
"Wang, Wenru",6,6,1.0
"Wu, Xi Vivien",1,1,1.0
"Xue, Dihua",2,0,0.0
"Kang, June",1,1,1.0
"Kang, Sook Jung",2,0,0.0
"Li, Anna",1,1,1.0
"Liang, Jia",1,0,0.0
"Xing, Kuan",2,0,0.0
"Huang, Amy",1,0,0.0
"Liu, Qinfeng",1,0,0.0
"Hong, Susan",1,0,0.0
"Pan, Shin Yin",1,0,0.0
"Kang, Min-Hyeok",1,0,0.0
"Mo, Di",2,0,0.0
"Rao, Analia E.",2,0,0.0
"Sun, Shufang",2,1,0.5
"Shen, Chia",1,0,0.0
"Song, John",1,0,0.0
"Liu, Xia",2,0,0.0
"Gan, Chin Lay",1,0,0.0
"Ma, M.",1,0,0.0
"Rao, Pramila",1,0,0.0
"Kong, Zhuoran",1,1,1.0
"Lin, Mei",3,2,0.6667
"Shi, Hanyuan",1,0,0.0
"Lin, Yin-Ling",1,0,0.0
"Chen, Jondou",1,1,1.0
"Fang, Fu-Fen Anny",1,1,1.0
"Song, Hao",1,0,0.0
"Pan, Tongyan",1,0,0.0
"Bi, Xiaoyu",2,0,0.0
"Kang, Kyung-Ah",2,0,0.0
"Yu, Chih-Huang",1,0,0.0
"Zhu, Xiaojin",1,0,0.0
"Tan, Christine Nya-Ling",4,0,0.0
"Sun, Peijian (Paul)",1,1,1.0
"Dou, Remy",12,0,0.0
"Hua, Susan",1,0,0.0
"Ling, Meng Kay",1,0,0.0
"Chong, Sau Kew",1,0,0.0
"Chen, Yvonnes",2,0,0.0
"Zhu, Jieling",1,0,0.0
"Wang, Haiwen",3,2,0.6667
"Yong, David Gun Fie",1,0,0.0
"Su, Yu",5,1,0.2
"Chang, Jen-Mei",1,0,0.0
"Yao, Esther S.",1,0,0.0
"Wu, Y.",1,0,0.0
"Lang, Cathryne P.",1,0,0.0
"Chang, Seohee",1,0,0.0
"Ren, Lixin",1,0,0.0
"Deng, Shuyuan (Lance)",1,0,0.0
"Zhang, Jessica",2,1,0.5
"Chang, Ji-Young",1,1,1.0
"Chang, Yerim",1,1,1.0
"Yuan, Shu",1,0,0.0
"Ning, Hoi Kwan",1,0,0.0
"Chen, Sibo",1,0,0.0
"Xie, Xiyao",1,0,0.0
"Han, Seung Hyun",1,0,0.0
"Wang, Sasha",2,1,0.5
"Pan, Yi-Cheng",2,1,0.5
"Hong, He-Ting Vivian",1,0,0.0
"Chen, Jason I.",1,0,0.0
"Li, Wanqing",1,0,0.0
"Wang, Angela",2,1,0.5
"Tan, Julia Shi Yu",1,0,0.0
"Cheng, Albert",7,0,0.0
"Wang, Zhen",1,0,0.0
"Zhou, Hong-Cai",1,0,0.0
"Hong, Yet Hoi",1,1,1.0
"You, Jieun",1,0,0.0
"Yang, Young-Mo",1,0,0.0
"Lin, Yulan I.",1,0,0.0
"Liu, Ting",5,1,0.2
"Ma, Rui Yan",1,1,1.0
"Sun, Dylan",1,1,1.0
"Chen, Vivian",1,0,0.0
"Kong, Eric",1,0,0.0
"Chen, Wenqian",6,1,0.1667
"Jiang, Feng",2,0,0.0
"Xing, Wanli",15,11,0.7333
"Qin, Jian",1,0,0.0
"Zhu, Wenlei",1,1,1.0
"Yan, Fei",1,0,0.0
"Zhang, Haomin (Stanley)",2,0,0.0
"Peng, Wei",1,1,1.0
"Song, Hayeon",1,1,1.0
"Kong, Ailing",1,0,0.0
"Xiao, Qian",2,2,1.0
"Tan, Keith Chiu Kian",2,2,1.0
"Tan, Liang See",3,2,0.6667
"Tan, Laura",1,0,0.0
"Chang, Wesley S.",1,0,0.0
"She, Yuqi",1,0,0.0
"Chong, Su Li",3,1,0.3333
"Li, Timothy",1,0,0.0
"Liu, Gang",3,3,1.0
"Han, Xue",1,1,1.0
"Tang, Yingqi",3,0,0.0
"Chen, Chen (Amy)",1,0,0.0
"Lang, Lynn A.",2,0,0.0
"Li, Shouji",1,0,0.0
"Sun, Shuyan",1,0,0.0
"Leng, Phirom",2,1,0.5
"Chang, Celia H.",2,0,0.0
"Chang, Mary K.",2,1,0.5
"Li, Katherine",1,1,1.0
"Lai, Huei-yi",1,0,0.0
"Tan, Lui Lee",1,1,1.0
"Tan, Yee Ning",1,1,1.0
"Zang, Xiaojiao",1,1,1.0
"Chu, Marilyn",2,0,0.0
"Lou, Nigel Mantou",12,1,0.0833
"Hong, Murray",1,0,0.0
"Fang, N.",2,1,0.5
"Guo, Y.",1,1,1.0
"She, Ruicong",1,1,1.0
"Shi, Judy",1,1,1.0
"Wang, Lijuan",2,1,0.5
"Dang, Thi Kim Anh",4,1,0.25
"Quan, Gina M.",7,0,0.0
"Feng, Hui-Hsien",1,0,0.0
"Yang, Yuehai",1,0,0.0
"Sun, Angela",2,1,0.5
"Liang, Ming-Ching",1,0,0.0
"Fan, Chao",1,0,0.0
"Teng, Lin Sophie",2,2,1.0
"Tang, Su-Mae",1,0,0.0
"Min, Young-Kyung",1,0,0.0
"Song, Ki-il",1,0,0.0
Quang Tuan Le,1,0,0.0
"Meng, Fan",1,1,1.0
"Nong, Paige",1,1,1.0
"Su, Gang",1,1,1.0
"Hao, Jun",1,1,1.0
"Zhang, Hui",8,5,0.625
"Diao, Wenhao",4,2,0.5
"Liu, Jinghui Jack",1,0,0.0
"Su, Jian",2,0,0.0
"Wang, Xiao-lei",1,0,0.0
"Tang, Rong",2,1,0.5
"Yu, Martin C.",1,0,0.0
"Hong, Jun Sung",3,0,0.0
"Cai, Xizhen",1,0,0.0
"Si, Yajuan",1,0,0.0
"Liu, Sa",2,1,0.5
"Le, Quang Tuan",1,0,0.0
"Hong, Ying",1,0,0.0
"Liang, Guodong",1,0,0.0
"Dang, Yan",1,1,1.0
"Zhang, Yulei",2,2,1.0
"Fan, Di",2,2,1.0
"Xia, Jie",2,2,1.0
"Zhang, Mingqiong Mike",2,2,1.0
"Zhu, Jiuhua Cherrie",2,2,1.0
"He, Ping",2,0,0.0
"Chen, Ling-Hui",2,2,1.0
"Lin, Shengjie",13,8,0.6154
"Song, Bora",1,0,0.0
"Mao, Liyang",1,1,1.0
"Yang, Jie",4,0,0.0
"Qiu, Robin G.",2,0,0.0
"Chang, Esther",1,0,0.0
"Xing, Lin",1,0,0.0
"Xin, Huaibo",2,1,0.5
"Gai, Lili",1,0,0.0
"Zhan, Xi",1,0,0.0
"Zhang, Zhe",1,0,0.0
"Chang, Olivia D.",1,1,1.0
"Yu, Tina",1,1,1.0
"Ma, Colleen",1,0,0.0
"Lei, Quinmill M.",1,0,0.0
"Wang, Xin",2,0,0.0
"Gan, Samuel Ken-En",2,1,0.5
"Wang, Jichuan",2,0,0.0
"Shen, Winny",2,0,0.0
"Hu, Qintong",1,0,0.0
"Chen, Becky Xi",1,0,0.0
"Lu, Z. Kevin",1,0,0.0
"Shen, Megan Johnson",1,0,0.0
"Liu, Gang-yu",2,0,0.0
"Jin, Aijing",2,0,0.0
"Liu, Jane M.",4,0,0.0
"Wang, Jessie J.",1,0,0.0
"Chang, Kevin",2,1,0.5
"Qin, Y.",1,0,0.0
"Long, Taotao",2,0,0.0
"Li, Shuai",3,3,1.0
"Xiao, Feng",2,2,1.0
"He, Xinming",1,1,1.0
"Li, Ye",4,1,0.25
"Fan, Jingjing",1,0,0.0
"Chong, Chu Chian",1,1,1.0
"Wang, Chiachih D. C.",2,2,1.0
"Zhu, Wenzhen",2,2,1.0
"Jin, Yan",2,0,0.0
"Lang, Undine E.",1,0,0.0
"Ye, Suying",1,0,0.0
"Liu, Huacong",3,0,0.0
"Mao, Yuping",1,0,0.0
Luo Han,1,0,0.0
"Yan, Linda Hui",1,0,0.0
"Xin, Joy F.",2,1,0.5
"Liu, Dongfang",1,0,0.0
"Zhan, Min",3,1,0.3333
"Wang, Dongshuo",1,1,1.0
"Pu, Shi",4,4,1.0
"Sun, Liang",2,2,1.0
"Mao, Zhenxing",1,0,0.0
"Yong, Su Ting",2,0,0.0
"Wang, Grace Ying",1,0,0.0
"Tu, Khoa",1,0,0.0
"Fu, Zhao",3,3,1.0
"Sun, Wanyi",1,1,1.0
"Yu, Ji Hyun",4,2,0.5
Fan Ouyang,1,0,0.0
"Yu, Hyun Sook",1,0,0.0
"Le, Vi-Nhuan",2,0,0.0
"Shao, Jing",1,0,0.0
"You, Chenjing (Julia)",1,0,0.0
"Zheng, Sam Xianjun",1,0,0.0
"Li, Kun",3,1,0.3333
"Li, Yanju",2,1,0.5
"Wang, Janey Qian",1,0,0.0
"Zhao, Yali",1,0,0.0
"Wei, Hua",1,0,0.0
"Wang, Liz C.",1,0,0.0
"Huang, Iona Yuelu",2,0,0.0
"Min, Hyounae",2,0,0.0
"Yu, Carol",1,0,0.0
"Chen, Mingyu",1,0,0.0
"Ha, Myung-Jeong",1,0,0.0
"Wu, Qiang",3,1,0.3333
"Liu, Huili",2,2,1.0
"Du, Jie",1,0,0.0
"Cheng, Stephanie L.",1,0,0.0
"Zhao, Jinjing",1,0,0.0
"Xiong, Weiyan",3,2,0.6667
"Ye, Huiyuan",4,3,0.75
"Li, Xiaoqing",1,1,1.0
"Tan, Hui",1,1,1.0
"Cheng, Anran",1,0,0.0
"Qin, Zhen",1,0,0.0
"Xu, Zhenjiang",1,0,0.0
"Hong, Won-Pyo",2,0,0.0
"Tian, Wenwen",1,0,0.0
"Lin, Zheng",2,0,0.0
"Man, Mustafa",1,0,0.0
"Yu, Ya-Ting",1,1,1.0
"Cheng, Ya-Wen",1,0,0.0
"Wang, Lu",2,0,0.0
"Ren, Xiaoni",1,0,0.0
"Li, Mingxin",1,0,0.0
"An, Sohyun",2,0,0.0
"Yong, Yu-Ping",1,0,0.0
"Lin, Agnes Liau Wei",1,0,0.0
"Jiang, David S.",1,0,0.0
"Fu, Jasmine Y.",1,0,0.0
"Chang, Yun",2,0,0.0
"Su, Mengwei",2,0,0.0
"Zhu, Yue",1,0,0.0
"Man, Fung Fun",1,0,0.0
"Huang, Xiaoxia",5,2,0.4
"Chen, Xinnian",6,1,0.1667
"Guo, Hongwen",2,1,0.5
"Wang, Cong",11,9,0.8182
"Yan, Wenfan",4,1,0.25
"Lin, Anne",2,0,0.0
"Zhang, Lily",1,0,0.0
"Hao, Qiang",5,1,0.2
"Pan, Yung-Yi Diana",1,0,0.0
"Jiang, Ke",3,2,0.6667
"Zhu, Bo",1,0,0.0
"Zhang, Zhidong",1,0,0.0
"Long, Maureen",2,0,0.0
"Lai, Jennifer W. M.",2,0,0.0
"Lin, Peiyi",1,0,0.0
"Min, Inah",1,0,0.0
"Xiong, Soua",5,0,0.0
"Kang, Hyun Ju",1,0,0.0
"Wang, Yijie",3,1,0.3333
"Li, Ishuan",2,0,0.0
"Zhao, Meishan",3,0,0.0
"Liu, Katrina",2,0,0.0
"Zhao, Yihong",1,0,0.0
"Li, Shi",1,0,0.0
"Le, Anh T.",2,0,0.0
"Xu, Xianxuan",1,0,0.0
"Liu, Lydia",1,1,1.0
"Shi, Henry",2,2,1.0
"Tian, Meng",2,0,0.0
"Yan, Zi",2,0,0.0
"Lin, Michael P.",1,0,0.0
"Xu, Jiayun",2,0,0.0
"Wu, Xiaofeng",1,0,0.0
"Chi, W. Edward",4,1,0.25
"Wang, Lifang",1,1,1.0
"Pan, Cheng-Chang",1,0,0.0
"Liu, Yong",5,1,0.2
"Zhang, Duan",1,0,0.0
"Ling, Chui Ching",1,0,0.0
"Lin, Xiaobing",2,2,1.0
"Liu, Wei",17,5,0.2941
"Fa, Kwok Sau",1,0,0.0
"Sun, Yu",1,0,0.0
"Shi, Hong",2,0,0.0
"Kuang, Jennee",1,0,0.0
"Wan, Stephanie",1,0,0.0
"Cao, Jun",1,1,1.0
"Mi, Xi",1,1,1.0
"Hong, Seongyoun",1,0,0.0
"Chai, Zhen",3,1,0.3333
"Liu, Haitao",1,1,1.0
"Zhou, Feng",1,1,1.0
"Chen, Janet",2,0,0.0
"Bai, Jieru",1,0,0.0
"Yun, Jung H.",1,0,0.0
"Dong, Nianbo",5,1,0.2
"Song, Shanji",1,0,0.0
"Chen, Xiaoying",1,0,0.0
"Feng, Jing Betty",2,0,0.0
"Zhao, Dangzhi",1,0,0.0
"Yang, Samuel C.",4,1,0.25
"Xu, Xinhao",7,7,1.0
"Chen, Xiaoning",1,1,1.0
"Huang, Qiaoya",1,1,1.0
"Liu, Dan",5,1,0.2
"Zheng, Shao-Liang",4,2,0.5
"Wang, Yinying",4,0,0.0
"Lin, Yingxin",1,0,0.0
"Liu, Liu",1,0,0.0
"Wu, Maryalice",1,0,0.0
"Liao, Kelly Yu-Hsin",1,1,1.0
"Song, Hyun-a",2,1,0.5
"Lang, Patricia L.",1,0,0.0
"Chen, Yu-Sheng",1,1,1.0
"Yu, Hui",1,0,0.0
"Chen, Angela Chuan-Ru",1,0,0.0
"Chen, Dennis",1,0,0.0
"Hong, Qiuqi",1,0,0.0
"Dong, Shengli",7,1,0.1429
"Wei, Xin",7,6,0.8571
"Yu, Jennifer W.",2,2,1.0
"Gao, Xiaohan",1,1,1.0
"Xu, Sonya",1,1,1.0
"Ye, Jingbo",1,1,1.0
"Chen, Peishan",1,0,0.0
"Chen, Ling",3,1,0.3333
"Cheng, Steven",1,1,1.0
"Tian, Dajun",1,1,1.0
"Han, Lu",1,0,0.0
"Ou, Susan",1,0,0.0
"Tan, Zachary",1,0,0.0
"Tian, Jing",5,2,0.4
"Chang, Daniel",2,0,0.0
"Kang, So Young",1,0,0.0
"Yang, Anthony D.",2,0,0.0
"Li, Amanda",1,0,0.0
Xuan Thu Dang,1,0,0.0
"Tan, Khoon Kiat",1,1,1.0
"Wu, Ling Ting",3,2,0.6667
"Pei, Jacqueline",2,0,0.0
"Wu, Chiung-Jung (Jo)",1,0,0.0
"Liu, Yujuan",9,4,0.4444
"Wen, Louise",1,0,0.0
"Li, Shelly-Anne",4,0,0.0
"Lin, Patrick Yongxing",1,1,1.0
"Tan, Apphia Jia Qi",2,2,1.0
"Tan, Poh Leong",2,0,0.0
"Yao, Amy",1,0,0.0
"Yuan, S.",2,0,0.0
"Feng, Patrick",1,0,0.0
"Shi, Yubing",1,0,0.0
"Ling, Tan Phei",1,0,0.0
"Lu, Amanda",2,0,0.0
"Fang, Michele",1,0,0.0
"Yu, Daohai",2,2,1.0
"Zhang, Jeanette",1,1,1.0
"Dang, Myley",1,0,0.0
"Liu, Gigi",1,0,0.0
"Fan, Jingyang",3,0,0.0
"Cui, Yinji",1,1,1.0
"Gong, Hye Jin",1,1,1.0
"Song, Meiying",1,1,1.0
"Chang, Benjamin",1,0,0.0
"Ha, Laurence",1,0,0.0
"Song, Diana",1,1,1.0
"Zhong, Toni",1,1,1.0
"Chang, Eric Y.",1,0,0.0
"Jiang, Ivy",2,2,1.0
"Ma, Zhiying",1,1,1.0
"Lai, Cindy",1,0,0.0
"Lin, Dana T.",2,0,0.0
"Zhao, Xianbo",1,0,0.0
"Yang, Zhaomin",1,1,1.0
"Lin, Chen-Yen",1,0,0.0
"Chen, Hsiao-Jou Cortina",1,0,0.0
"Chen, Jennifer J.",2,1,0.5
"Ma, O. John",1,0,0.0
"Yu, Roger C.",2,0,0.0
"Chang, Don-Ryun",1,0,0.0
"Sun, Ning",3,3,1.0
"Pang, Karl H.",2,0,0.0
"Lang, Spenser C.",1,0,0.0
"Yun, Karen M.",1,0,0.0
"Fu, Na",2,0,0.0
"Huang, Kuo-Ting",1,0,0.0
"Kang, Sun Chul",2,0,0.0
"Lai, Sue Min",1,0,0.0
"Chu, Joyce P.",1,0,0.0
"Feng, Francis",1,1,1.0
"Wang, Yi Fei",1,1,1.0
"Cheng, Teresa",1,0,0.0
"Li, Shawn X.",1,0,0.0
"Sun, Chongning",1,0,0.0
"Huang, Yinlun",1,0,0.0
"Kang, Youngjoon",1,0,0.0
"Song, Mi-Kyung",1,0,0.0
"Cui, Dongmei",1,0,0.0
"Rao, Bandlamudi Madhusdhan",1,0,0.0
"Lu, Yang",2,1,0.5
"Pan, Zilong",3,3,1.0
"Zou, Wenting",2,2,1.0
"Tang, Xiaofeng",1,0,0.0
"Zheng, M.",1,0,0.0
"Chen, Julian Cheng Chiang",1,0,0.0
"Lang, Sarah N.",1,0,0.0
"Fu, Xuanning",1,1,1.0
"Yue, Hongtao",1,1,1.0
"Zhou, Kai",1,0,0.0
"Lang, Tara R.",1,0,0.0
"Liang, Rachel",1,0,0.0
"Ha, Oai",2,0,0.0
"Zhao, Xiaoying",1,0,0.0
"Wu, Christine",2,1,0.5
"Peng, Peng",4,2,0.5
"Rao, RVS",1,0,0.0
"Wei, Xiaoxin",1,1,1.0
"Zhu, Shi",1,1,1.0
"Song, Donggil",6,0,0.0
"Su, Jenny C.",1,1,1.0
"Chai, F.",1,0,0.0
"Chai, C-S",1,0,0.0
"Yuan, Haowen",1,0,0.0
"Tai, Heeyoung",1,0,0.0
"Chang, Yoosoo",1,0,0.0
Bui Thi Thuy Hang,1,0,0.0
"Cheng, Charles Fang Chin",2,0,0.0
"Tan, S. Serkan",1,0,0.0
"Chen, Senlin",4,2,0.5
"An, Ji",1,0,0.0
"Hong, Sungchan",1,0,0.0
"Li, Ee Hui",1,0,0.0
"Jiang, Yaming",1,0,0.0
"Tai, Mikala",1,0,0.0
"Wang, Shu-Yi",3,1,0.3333
"Niu, Chunling",2,1,0.5
"Ma, Jinxuan",2,0,0.0
"Chi, Edward",1,0,0.0
Vi Nhuan Le,1,0,0.0
"Kang, Seokmin",1,1,1.0
"Mao, Yi",1,0,0.0
"Guo, Jiesi",7,0,0.0
"Xu, W.",1,0,0.0
"Yuan, Guangji",1,0,0.0
"Huang, Su-Min",1,1,1.0
"Han, Seung-Lock",1,0,0.0
"Chen, Yung-Ju",2,2,1.0
"Li, Yilin",2,2,1.0
"Xie, Xiuge",1,1,1.0
"Liao, Lester",1,0,0.0
"Fang, Kelly Num Sze",1,0,0.0
"Zhi, Bo",1,1,1.0
"Kang, SoRa",1,0,0.0
"Tu, Kimberly C.",1,0,0.0
"Yong, Hua-Hie",1,0,0.0
"Qian, Wei",1,0,0.0
"Mao, Jinghe",1,0,0.0
"Tian, Ye",1,0,0.0
"Han, Sumi",3,0,0.0
"Le, Dinh",1,0,0.0
"Lei, Puiwa",3,1,0.3333
"Qin, Pei",1,0,0.0
"Huang, Xiaoxia 'Silvie'",1,0,0.0
"Li, Yun Ling",2,0,0.0
"Han, Seungheon",1,0,0.0
"Hao, Yijun",1,0,0.0
Thi Ngoc Yen Dang,5,0,0.0
"Wang, Xiqiao",3,0,0.0
"Ha, Huong",2,0,0.0
"Han, Edmund M.",1,0,0.0
"Huang, Shu Rong",1,0,0.0
"Chen, Su",1,0,0.0
"Wang, Philip Y.",1,0,0.0
